4 KB: 95, 380 KB
8 KB: 44, 732 KB
12 KB: 25, 1032 KB
16 KB: 15, 1272 KB
20 KB: 9, 1452 KB
24 KB: 8, 1644 KB
28 KB: 5, 1784 KB
32 KB: 6, 1976 KB
36 KB: 2, 2048 KB
40 KB: 2, 2128 KB
44 KB: 1, 2172 KB
48 KB: 2, 2268 KB
52 KB: 5, 2528 KB
56 KB: 5, 2808 KB
60 KB: 1, 2868 KB
64 KB: 29, 4724 KB
68 KB: 3, 4928 KB
76 KB: 1, 5004 KB
80 KB: 1, 5084 KB
88 KB: 1, 5172 KB
100 KB: 1, 5272 KB
108 KB: 1, 5380 KB
112 KB: 1, 5492 KB
120 KB: 1, 5612 KB
128 KB: 5, 6252 KB
132 KB: 1, 6384 KB
136 KB: 2, 6656 KB
144 KB: 1, 6800 KB
168 KB: 1, 6968 KB
172 KB: 1, 7140 KB
180 KB: 1, 7320 KB
192 KB: 1, 7512 KB
200 KB: 1, 7712 KB
204 KB: 1, 7916 KB
208 KB: 1, 8124 KB
256 KB: 1, 8380 KB
276 KB: 2, 8932 KB
288 KB: 1, 9220 KB
324 KB: 1, 9544 KB
328 KB: 1, 9872 KB
332 KB: 1, 10204 KB
360 KB: 1, 10564 KB
432 KB: 1, 10996 KB
524 KB: 1, 11520 KB
580 KB: 1, 12100 KB
596 KB: 1, 12696 KB
668 KB: 1, 13364 KB
704 KB: 1, 14068 KB
768 KB: 1, 14836 KB
896 KB: 1, 15732 KB
1028 KB: 1, 16760 KB
1056 KB: 1, 17816 KB
1128 KB: 1, 18944 KB
1152 KB: 1, 20096 KB
1168 KB: 1, 21264 KB
1172 KB: 1, 22436 KB
1216 KB: 1, 23652 KB
1224 KB: 2, 26100 KB
1304 KB: 1, 27404 KB
1416 KB: 1, 28820 KB
1428 KB: 1, 30248 KB
1492 KB: 1, 31740 KB
1540 KB: 1, 33280 KB
1880 KB: 1, 35160 KB
2120 KB: 1, 37280 KB
2380 KB: 1, 39660 KB
2404 KB: 1, 42064 KB
2640 KB: 1, 44704 KB
2828 KB: 1, 47532 KB
2980 KB: 1, 50512 KB
3024 KB: 1, 53536 KB
3076 KB: 1, 56612 KB
3376 KB: 1, 59988 KB
3456 KB: 1, 63444 KB
3504 KB: 1, 66948 KB
3516 KB: 5, 84528 KB
3536 KB: 1, 88064 KB
3584 KB: 1, 91648 KB
3644 KB: 2, 98936 KB
3652 KB: 1, 102588 KB
3836 KB: 1, 106424 KB
4100 KB: 1, 110524 KB
4220 KB: 1, 114744 KB
4236 KB: 1, 118980 KB
4868 KB: 1, 123848 KB
4900 KB: 1, 128748 KB
6036 KB: 1, 134784 KB
6148 KB: 1, 140932 KB
6628 KB: 1, 147560 KB
6772 KB: 1, 154332 KB
6940 KB: 1, 161272 KB
7032 KB: 1, 168304 KB
7096 KB: 1, 175400 KB
7228 KB: 1, 182628 KB
7288 KB: 1, 189916 KB
7296 KB: 1, 197212 KB
7624 KB: 1, 204836 KB
7704 KB: 1, 212540 KB
8112 KB: 2, 228764 KB
8748 KB: 1, 237512 KB
8844 KB: 1, 246356 KB
9056 KB: 1, 255412 KB
9504 KB: 1, 264916 KB
9572 KB: 1, 274488 KB
9744 KB: 1, 284232 KB
10528 KB: 1, 294760 KB
10684 KB: 1, 305444 KB
11172 KB: 1, 316616 KB
11252 KB: 1, 327868 KB
11380 KB: 1, 339248 KB
12376 KB: 1, 351624 KB
12676 KB: 1, 364300 KB
12876 KB: 1, 377176 KB
13696 KB: 1, 390872 KB
14284 KB: 1, 405156 KB
14768 KB: 1, 419924 KB
14812 KB: 1, 434736 KB
15448 KB: 1, 450184 KB
15612 KB: 1, 465796 KB
15736 KB: 1, 481532 KB
16288 KB: 1, 497820 KB
16524 KB: 1, 514344 KB
16956 KB: 1, 531300 KB
17520 KB: 1, 548820 KB
18028 KB: 1, 566848 KB
18828 KB: 1, 585676 KB
18904 KB: 1, 604580 KB
19396 KB: 1, 623976 KB
20388 KB: 1, 644364 KB
20492 KB: 1, 664856 KB
23160 KB: 1, 688016 KB
23176 KB: 1, 711192 KB
25464 KB: 1, 736656 KB
27380 KB: 1, 764036 KB
27452 KB: 1, 791488 KB
28340 KB: 1, 819828 KB
28380 KB: 1, 848208 KB
30032 KB: 1, 878240 KB
35784 KB: 1, 914024 KB
39440 KB: 1, 953464 KB
43732 KB: 1, 997196 KB
54688 KB: 1, 1051884 KB
56480 KB: 1, 1108364 KB
64180 KB: 1, 1172544 KB
64676 KB: 1, 1237220 KB
76264 KB: 1, 1313484 KB
76312 KB: 1, 1389796 KB
80036 KB: 1, 1469832 KB
82400 KB: 1, 1552232 KB
88672 KB: 1, 1640904 KB
89312 KB: 1, 1730216 KB
94120 KB: 1, 1824336 KB
96564 KB: 1, 1920900 KB
102072 KB: 1, 2022972 KB
109736 KB: 1, 2132708 KB
109988 KB: 1, 2242696 KB
112324 KB: 1, 2355020 KB
117360 KB: 1, 2472380 KB
118352 KB: 1, 2590732 KB
119472 KB: 1, 2710204 KB
125644 KB: 1, 2835848 KB
129428 KB: 1, 2965276 KB
148308 KB: 1, 3113584 KB
149328 KB: 1, 3262912 KB
207120 KB: 1, 3470032 KB
209588 KB: 1, 3679620 KB
213600 KB: 1, 3893220 KB
229376 KB: 4, 4810724 KB
